label,floor_x_m,floor_y_m,depth_m,confidence
chair,0.10611541748046882,1.3397863769531244,1.3397863769531244,0.9465625882148743
chair,-1.1240066528320316,4.765432739257813,4.765432739257813,0.9329899549484253
chair,0.8696530151367181,4.700447082519531,4.700447082519531,0.9273566007614136
chair,5.128329467773437,4.3882754516601565,4.3882754516601565,0.9262112379074097
chair,-3.9685908508300782,5.214566040039061,5.214566040039061,0.9027723670005798
chair,-5.728792457580566,4.492155761718751,4.492155761718751,0.8980501294136047
chair,6.714841918945313,1.83489990234375,1.83489990234375,0.8790144324302673
chair,1.0710241699218752,6.1709222412109375,6.1709222412109375,0.8663744926452637
chair,5.793218994140625,6.177730102539062,6.177730102539062,0.8579833507537842
chair,4.030523071289062,5.547693176269531,5.547693176269531,0.8418745398521423
chair,-5.285908355712891,6.270640563964844,6.270640563964844,0.8143942952156067
chair,-0.7755249023437498,6.022166442871094,6.022166442871094,0.810288667678833
chair,-0.09614288330078136,6.847069549560547,6.847069549560547,0.7806762456893921
chair,4.023983154296875,6.816639099121094,6.816639099121094,0.7620068192481995
chair,1.2089468383789068,6.843624877929687,6.843624877929687,0.7551289200782776
table,5.7344512939453125,4.6691592407226565,4.6691592407226565,0.7506270408630371
table,-5.825083999633788,5.035514221191406,5.035514221191406,0.7444913983345032
chair,7.071598510742188,4.9981005859375,4.9981005859375,0.7277525067329407
table,-7.167648887634277,2.3293212890624995,2.3293212890624995,0.7149994969367981
chair,-4.21588363647461,6.807441864013672,6.807441864013672,0.6778649687767029
table,6.400149536132812,2.558621520996094,2.558621520996094,0.66828852891922
chair,5.7588958740234375,6.669045410156251,6.669045410156251,0.666545033454895
table,-1.6179797363281248,2.0537625122070318,2.0537625122070318,0.6199090480804443
table,-0.1098071289062501,5.659264221191407,5.659264221191407,0.475105881690979
table,-4.133168563842773,5.7437744140625,5.7437744140625,0.4430854022502899
chair,-6.051425399780273,6.705224609375,6.705224609375,0.4351872205734253
table,4.838107299804687,5.684182434082031,5.684182434082031,0.42645150423049927
chair,-7.339217319488525,4.438410949707032,4.438410949707032,0.38418707251548767
chair,7.888970947265625,6.094164733886719,6.094164733886719,0.38311144709587097
table,0.3996395874023442,6.2429550170898445,6.2429550170898445,0.3469577431678772
table,0.4968237304687495,6.898405456542969,6.898405456542969,0.323625385761261
table,-0.10328704833984403,4.887425231933593,4.887425231933593,0.2580404579639435
table,7.234550170898437,6.459700927734375,6.459700927734375,0.21534986793994904
chair,-5.388677749633789,7.431664276123048,7.431664276123048,0.17357175052165985
